PLAYER,GP,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,Date
Nikola Jokic,68.0,1.8,27.4,13.9,7.9,1.3,1.0,3.1,10.9,18.9,3.9,4.9,2022-01-13
James Harden,65.0,2.6,23.7,8.4,10.3,1.4,0.9,4.6,6.2,14.3,8.7,10.0,2022-01-13
Stephen Curry,73.0,5.3,28.7,5.4,6.0,1.4,0.4,3.4,9.0,20.0,5.4,5.9,2022-01-13
Kevin Durant,68.0,2.3,31.4,8.1,6.1,0.8,0.9,3.3,11.6,22.6,5.9,6.7,2022-01-13
LeBron James,62.0,2.7,28.5,7.1,7.0,1.4,0.8,3.9,10.5,20.3,4.7,6.1,2022-01-13
Fred VanVleet,70.0,4.0,24.5,5.2,6.8,1.7,0.5,2.9,8.3,18.2,3.9,4.4,2022-01-13
Joel Embiid,55.0,1.4,28.5,11.2,4.0,1.2,1.4,3.5,9.3,18.9,8.5,10.6,2022-01-13
Karl-Anthony Towns,72.0,2.6,25.0,9.9,3.4,1.0,1.1,3.2,9.2,18.2,4.0,4.9,2022-01-13
Trae Young,78.0,3.0,28.7,3.8,9.3,1.0,0.2,4.0,9.9,21.6,6.0,6.8,2022-01-13
Jimmy Butler,62.0,0.4,23.5,6.0,5.3,1.9,0.4,2.1,8.3,16.0,6.6,7.6,2022-01-13
Paul George,48.0,3.3,25.8,7.7,5.4,1.4,0.5,3.9,9.3,21.0,3.8,4.3,2022-01-13
Anthony Davis,44.0,0.4,22.8,9.9,2.6,1.1,2.0,2.3,9.2,18.0,4.0,5.2,2022-01-13
Giannis Antetokounmpo,70.0,1.0,26.8,11.4,5.9,1.2,1.5,3.1,9.7,18.4,6.4,9.2,2022-01-13
Damian Lillard,36.0,3.6,24.5,3.8,6.5,0.6,0.4,2.4,7.4,17.6,6.1,6.8,2022-01-13
Rudy Gobert,76.0,0.0,15.9,15.4,1.0,0.7,2.3,2.0,5.6,7.9,4.6,6.5,2022-01-13
Dejounte Murray,74.0,1.4,19.0,8.4,9.5,1.9,0.4,2.2,7.9,18.0,1.9,2.4,2022-01-13
Chris Paul,72.0,1.4,14.5,4.4,10.2,1.7,0.4,2.3,5.4,11.0,2.4,2.8,2022-01-13
Kyrie Irving,21.0,2.7,23.0,3.7,5.2,1.2,0.5,2.6,8.9,18.1,2.5,2.8,2022-01-13
