PLAYER,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,GP,Date
Aaron Gordon,1.3,14.499999999999996,6.6,2.9,1.0,0.8,2.500000000000001,5.5,10.5,2.1,2.6999999999999993,1.0,2022-01-13
Aaron Henry,0.0,-0.06923076923076922,0.5692307692307692,0.0,0.0,-0.06923076923076922,-0.06923076923076922,-0.04615384615384616,1.0461538461538462,0.0,0.0,1.0,2022-01-13
Aaron Holiday,0.6000000000000002,5.199999999999998,2.6000000000000014,0.8999999999999986,1.6000000000000003,-0.7999999999999998,-3.1,2.599999999999999,5.400000000000006,0.6000000000000002,-0.3000000000000007,1.0,2022-01-13
Aaron Nesmith,1.1222222222222225,5.28148148148148,3.259259259259259,0.5074074074074075,0.30000000000000004,0.41481481481481486,0.1851851851851853,1.9296296296296294,3.4074074074074066,0.6148148148148148,0.7148148148148148,1.0,2022-01-13
Aaron Wiggins,1.2833333333333334,6.455555555555557,2.7777777777777772,1.4222222222222223,0.21666666666666679,0.038888888888888896,1.4444444444444442,2.3777777777777778,4.916666666666665,0.5166666666666665,1.0777777777777777,1.0,2022-01-13
Abdel Nader,0.8866666666666666,6.359999999999999,1.4600000000000004,0.6466666666666666,0.15999999999999998,0.3,0.6533333333333331,2.22,4.260000000000001,0.8399999999999999,1.1400000000000001,1.0,2022-01-13
Admiral Schofield,-0.019999999999999973,3.825,-0.41999999999999976,1.0550000000000002,0.1,-0.16499999999999998,-0.13000000000000003,1.845,4.165,0.155,0.255,1.0,2022-01-13
Al Horford,0.8114285714285714,9.828571428571431,6.917142857142858,3.0228571428571427,0.3114285714285715,0.9171428571428569,0.9057142857142856,3.8057142857142856,8.422857142857147,1.3114285714285714,1.705714285714286,1.0,2022-01-13
Alec Burks,2.136666666666667,17.95333333333333,5.7200000000000015,2.7366666666666664,0.5899999999999999,0.06333333333333341,1.61,6.913333333333333,15.216666666666669,2.1266666666666665,2.253333333333332,1.0,2022-01-13
Aleem Ford,0.4,2.8,3.0,0.4,0.2,0.0,0.8,1.2,4.0,0.0,0.0,1.0,2022-01-13
Aleksej Pokusevski,1.4235294117647062,8.511764705882353,3.588235294117647,1.7176470588235293,0.5,0.7058823529411765,1.611764705882353,2.9294117647058826,7.252941176470588,1.0235294117647058,1.223529411764706,1.0,2022-01-13
Alex Caruso,0.9235294117647058,9.458823529411765,2.111764705882353,3.4705882352941178,1.4705882352941178,0.4764705882352941,0.6176470588235294,3.5058823529411764,7.5352941176470605,1.3470588235294119,1.8235294117647058,1.0,2022-01-13
Alex Len,0.7999999999999999,5.6000000000000005,3.900000000000001,0.6999999999999998,0.3,1.4000000000000001,0.7000000000000001,1.600000000000001,3.2000000000000006,1.4,2.3000000000000003,1.0,2022-01-13
Alfonzo McKinnie,2.3130434782608695,6.313043478260869,-0.6956521739130435,1.2086956521739132,-0.10434782608695652,1.2434782608695654,1.0695652173913044,2.0,6.4173913043478255,0.0,-0.10434782608695652,1.0,2022-01-13
Alize Johnson,0.35200000000000004,3.6359999999999997,4.084,0.7519999999999999,0.37599999999999995,0.17600000000000002,0.6,1.2280000000000002,2.556,0.9039999999999999,1.28,1.0,2022-01-13
Alperen Sengun,0.7,12.0,6.9,3.4,1.1,0.9,2.7,4.9,9.7,1.6,1.6,1.0,2022-01-13
Amir Coffey,1.432,8.792,3.448000000000001,1.732,0.8319999999999999,0.2,0.948,3.196,6.892,1.3,2.032,1.0,2022-01-13
Andre Drummond,0.0,8.676923076923076,9.66923076923077,0.8615384615384614,1.1,0.8102564102564105,1.4102564102564104,3.269230769230769,7.187179487179487,2.048717948717949,2.948717948717949,1.0,2022-01-13
Andre Iguodala,0.9333333333333333,5.3999999999999995,4.266666666666666,1.8666666666666663,0.46666666666666656,0.7000000000000001,2.466666666666667,2.0333333333333337,4.533333333333333,0.06666666666666662,-0.06666666666666662,1.0,2022-01-13
Andrew Wiggins,2.005263157894737,19.184210526315788,4.984210526315789,2.0947368421052635,0.9000000000000002,0.7947368421052632,1.7,7.094736842105264,14.494736842105265,2.794736842105263,3.8947368421052624,1.0,2022-01-13
Anfernee Simons,3.7447368421052634,20.439473684210522,2.7000000000000006,6.3578947368421055,0.5921052631578947,0.10000000000000002,0.5394736842105263,6.636842105263159,14.865789473684213,3.513157894736842,3.8052631578947373,1.0,2022-01-13
Anthony Davis,0.4,22.00588235294118,9.9,2.1235294117647063,0.9411764705882357,2.0,2.4588235294117635,9.041176470588232,18.158823529411766,3.5235294117647062,3.929411764705883,1.0,2022-01-13
Anthony Edwards,3.1166666666666667,22.03333333333333,5.216666666666666,3.3333333333333335,1.4166666666666667,0.7,2.8333333333333335,7.833333333333333,17.866666666666664,3.0666666666666664,4.133333333333333,1.0,2022-01-13
Anthony Gill,0.6599999999999999,1.94,1.42,-0.039999999999999994,-0.08,0.45999999999999996,0.12000000000000002,0.9199999999999999,1.34,-0.48,-0.64,1.0,2022-01-13
Anthony Lamb,-0.0,-0.0,0.5,1.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,1.0,2022-01-13
Anthony Tolliver,0.6,2.1,1.3,0.3,0.4,0.3,0.4,0.6,2.2,0.7,0.8,1.0,2022-01-13
Armoni Brooks,2.2300000000000004,7.200000000000003,1.1400000000000006,3.5500000000000007,0.7,0.1999999999999999,1.4599999999999997,1.6399999999999992,2.830000000000001,1.7899999999999998,1.8900000000000001,1.0,2022-01-13
Aron Baynes,0.4,5.3,4.5,0.8,0.3,0.3,0.8,2.2,4.9,0.5,0.7,1.0,2022-01-13
Austin Reaves,0.2687499999999998,0.7937499999999975,0.3500000000000001,0.2687499999999998,-0.18749999999999994,0.1,0.9874999999999998,0.3500000000000001,1.6187500000000012,-0.4624999999999999,-0.36250000000000004,1.0,2022-01-13
Austin Rivers,0.9256410256410255,5.7,1.8,0.9256410256410255,0.5,0.1,0.8,2.1,4.628205128205129,0.5743589743589743,0.7743589743589743,1.0,2022-01-13
